,Cycles,Cap,SOC-low,SOC-high,DisRate
0,2.5467243499875,1.0000812825651304,20,60,0.5
1,48.3335770252952,1.0082463593854376,20,60,0.5
2,80.26697171166364,1.0086636983057025,20,60,0.5
3,96.23366905484787,1.0090828056112222,20,60,0.5
4,123.26226128938849,1.0121951636606545,20,60,0.5
5,138.49845613974728,1.009666372745491,20,60,0.5
6,157.2828059552581,1.0056897795591184,20,60,0.5
7,186.26437424204627,1.0010629258517036,20,60,0.5
8,202.83485425787188,1.002357194388778,20,60,0.5
9,221.35831032594515,1.0045504342017368,20,60,0.5
10,244.10824510250828,1.0024106880427524,20,60,0.5
11,263.9361699077697,1.0013991716766868,20,60,0.5
12,282.19873222840516,1.0005627254509017,20,60,0.5
13,301.29615454084126,0.9962443286573145,20,60,0.5
14,313.1929094239981,0.9930847294589179,20,60,0.5
15,342.17447771078633,0.9975865330661324,20,60,0.5
16,359.84071146585006,0.9977907815631264,20,60,0.5
17,380.44088176352716,0.9974639839679359,20,60,0.5
18,402.2307275495195,0.9966411543086173,20,60,0.5
19,417.4460509000834,0.9961276152304609,20,60,0.5
20,439.98727067869635,0.99528248496994,20,60,0.5
21,457.4567160071215,0.9899184609218434,20,60,0.5
22,469.8543868853587,0.986206973947896,20,60,0.5
23,483.81742024822165,0.9818302204408819,20,60,0.5
24,500.6189775832064,0.9767587441549769,20,60,0.5
25,517.0031049222908,0.979641843687375,20,60,0.5
26,536.7266722285774,0.9837400765166694,20,60,0.5
27,557.3894570256392,0.983755991983968,20,60,0.5
28,577.8174374500072,0.9829462925851706,20,60,0.5
29,595.8973741474365,0.9816332665330659,20,60,0.5
30,621.7929421073908,0.97812873747495,20,60,0.5
31,634.4052912692338,0.9760966733466934,20,60,0.5
32,646.6151186493157,0.9722013627254508,20,60,0.5
33,659.7641635201734,0.9689333867735472,20,60,0.5
34,692.8454906952674,0.9751581028724116,20,60,0.5
35,713.9257054882297,0.9733101402805613,20,60,0.5
36,744.8155251848474,0.9702561389445559,20,60,0.5
37,755.5643475792787,0.969750380761523,20,60,0.5
0,2.414930031,1.0112143740000001,0,100,2.0
1,10.08758683,1.002026718,0,100,2.0
2,25.5474177,0.9924694159,0,100,2.0
3,44.09921474,0.9774890135,0,100,2.0
4,52.34445787,0.9706797396,0,100,2.0
5,65.22765026,0.960352341,0,100,2.0
6,71.35432397,0.9571692757,0,100,2.0
7,98.72395047,0.9519542366,0,100,2.0
8,121.39836909999998,0.9474309332999999,0,100,2.0
9,148.60767140000002,0.9420224244000001,0,100,2.0
10,169.4956207,0.9356606171,0,100,2.0
11,191.48293569999998,0.9290945317000001,0,100,2.0
12,204.88145580000003,0.9252521557,0,100,2.0
13,229.61718509999997,0.9174011514999999,0,100,2.0
14,255.72712169999997,0.910466304,0,100,2.0
15,276.1439142,0.9048938167,0,100,2.0
16,303.8243733,0.8964975651,0,100,2.0
17,318.2535488,0.8938322207999999,0,100,2.0
18,332.6827243,0.8868673065,0,100,2.0
19,355.35714289999993,0.8778790649999999,0,100,2.0
20,376.3138025,0.8778790649999999,0,100,2.0
21,400.70598010000003,0.8812217994,0,100,2.0
22,414.10450019999996,0.8788170771999999,0,100,2.0
23,426.4723648,0.8716048056,0,100,2.0
24,438.8402295,0.8654035026,0,100,2.0
25,453.269405,0.8596983039,0,100,2.0
26,487.2810329,0.8626510527000001,0,100,2.0
27,504.8021746,0.8612936195,0,100,2.0
28,526.7894896,0.8540466066000001,0,100,2.0
29,548.7768046,0.8475291588,0,100,2.0
30,571.794775,0.8406579825,0,100,2.0
31,594.4691936,0.8364884077000001,0,100,2.0
32,617.1436122,0.8326946694999999,0,100,2.0
33,638.1002718,0.8289495689,0,100,2.0
34,659.5477197,0.8258089649999999,0,100,2.0
35,680.0135911,0.8235994251,0,100,2.0
36,705.7799758,0.8205560966000001,0,100,2.0
37,734.6383268,0.8166398167,0,100,2.0
38,751.128813,0.8123933058999999,0,100,2.0
39,773.8032317000001,0.8050198351,0,100,2.0
40,805.2382211,0.7947086491,0,100,2.0
41,823.1161281000001,0.7880864432,0,100,2.0
0,8.207089835,0.9970767575,0,100,0.5
1,19.23572186,0.9916095768,0,100,0.5
2,36.81260415,0.9836128049,0,100,0.5
3,54.38948644,0.9766193386,0,100,0.5
4,86.78609302,0.9705024509999999,0,100,0.5
5,105.0522648,0.9680680595,0,100,0.5
6,127.79881840000002,0.9645184720000001,0,100,0.5
7,153.6471747,0.9609280846,0,100,0.5
8,174.3258597,0.9576990674,0,100,0.5
9,202.2420845,0.95370651,0,100,0.5
10,218.7850326,0.9511157192,0,100,0.5
11,248.7691259,0.9462030455,0,100,0.5
12,268.4138767,0.9459137374,0,100,0.5
13,302.533707,0.9457777379,0,100,0.5
14,323.2123921,0.9439903156,0,100,0.5
15,352.16255110000003,0.9416408797,0,100,0.5
16,375.9430389,0.9410177547,0,100,0.5
17,403.8592637,0.9408817550999999,0,100,0.5
18,428.6736858,0.9391293042,0,100,0.5
19,456.79669749999994,0.9365868902,0,100,0.5
20,476.5793062,0.9316337876999999,0,100,0.5
21,498.981215,0.9254267695,0,100,0.5
22,512.7670049999999,0.9201282281000001,0,100,0.5
23,523.1063475,0.9144162482,0,100,0.5
24,531.0331768,0.9100506636,0,100,0.5
25,540.3385850999999,0.9046242825999999,0,100,0.5
26,555.8475988,0.8961047625999999,0,100,0.5
27,567.2208756,0.8926780846,0,100,0.5
28,581.6959552,0.887455703,0,100,0.5
29,604.4425087000001,0.8803817497,0,100,0.5
30,627.7798818,0.8747121593,0,100,0.5
31,652.8897137,0.8688369799,0,100,0.5
32,667.5124981,0.8659052187999999,0,100,0.5
33,682.6079382,0.8600381994,0,100,0.5
34,695.4287228999999,0.8554196557,0,100,0.5
35,709.9038025,0.8514682311999999,0,100,0.5
36,723.3449477,0.8442608949,0,100,0.5
37,734.0289349999999,0.8391813128,0,100,0.5
38,742.9896985,0.834856528,0,100,0.5
39,761.6005151,0.8268014706,0,100,0.5
40,786.1195273,0.8218005739,0,100,0.5
41,807.7139827000001,0.8179817073,0,100,0.5
0,-6.402899426155231,1.0002271242606364,20,80,2.0
1,6.9956206584113545,0.9989868636719956,20,80,2.0
2,8.026276049531873,0.9903779960567263,20,80,2.0
3,19.363485351857435,0.9757380573437535,20,80,2.0
4,30.700694654183025,0.9621438285388508,20,80,2.0
5,60.58970099667772,0.9504140437560871,20,80,2.0
6,93.57067351253396,0.9440587215240991,20,80,2.0
7,124.4903352461492,0.9426320165332449,20,80,2.0
8,157.47130776200544,0.9318020286481224,20,80,2.0
9,187.36031410450008,0.9271611842886665,20,80,2.0
10,223.43325279371788,0.9210427864650257,20,80,2.0
11,248.42664602839017,0.9154516652017959,20,80,2.0
12,269.3710359408033,0.9131344276314226,20,80,2.0
13,287.3338870431893,0.9124812932037912,20,80,2.0
14,315.1615826034431,0.9088418058293942,20,80,2.0
15,347.1118997281788,0.903073378150462,20,80,2.0
16,380.09287224403505,0.8948698244530489,20,80,2.0
17,409.7757475083055,0.8910696011592276,20,80,2.0
18,441.9321957112654,0.8879868571934515,20,80,2.0
19,474.9131682271217,0.883582937242343,20,80,2.0
20,505.83282996073683,0.8791760695536499,20,80,2.0
21,565.6108426457263,0.8616016580753972,20,80,2.0
22,595.499848988221,0.846544246027033,20,80,2.0
23,623.3275445484746,0.8360830938071596,20,80,2.0
24,651.3613711869525,0.8292608499418013,20,80,2.0
25,675.4787073391724,0.8286188326959166,20,80,2.0
26,698.3077242524914,0.8275755546713544,20,80,2.0
27,711.9639081848383,0.8269067867068912,20,80,2.0
28,734.6383267894895,0.819459818989477,20,80,2.0
29,763.4966777408638,0.8088546452241252,20,80,2.0
30,785.1404409543942,0.7991444045894007,20,80,2.0
31,810.9068257324071,0.7967514312183765,20,80,2.0
32,856.2556629417093,0.7899097322849609,20,80,2.0
0,2.9827896135618914,0.9994789579158315,20,80,0.5
1,8.886442412722431,0.9939100601202404,20,80,0.5
2,13.582529866600142,0.9901460521042084,20,80,0.5
3,20.157052302028944,0.9846896993987976,20,80,0.5
4,24.85313975590665,0.9807797995991986,20,80,0.5
5,35.18453215443762,0.9739520641282566,20,80,0.5
6,50.21201200684629,0.9692251703406815,20,80,0.5
7,65.23949185925497,0.9648873213092851,20,80,0.5
8,97.1728865456234,0.9588960320641284,20,80,0.5
9,129.10628123199186,0.951854321977288,20,80,0.5
10,157.517610327952,0.9476696593186372,20,80,0.5
11,170.90145957150347,0.9465535871743488,20,80,0.5
12,192.97307060472875,0.9437330126920507,20,80,0.5
13,223.96724780032162,0.9485012424849701,20,80,0.5
14,257.7790774682412,0.9483568096192387,20,80,0.5
15,282.51180472533036,0.9457949498997995,20,80,0.5
16,293.46934211771185,0.9450217234468937,20,80,0.5
17,320.7066493502025,0.9402996927187708,20,80,0.5
18,351.70082654579534,0.9396747895791584,20,80,0.5
19,382.69500374138835,0.9306672982328292,20,80,0.5
20,410.8715284646546,0.9298184733102569,20,80,0.5
21,431.53431326171653,0.9281712224448898,20,80,0.5
22,448.44022809567633,0.9270082565130258,20,80,0.5
23,474.7383178373915,0.926476225177628,20,80,0.5
24,496.02724762830366,0.924961603206413,20,80,0.5
25,513.9506480772703,0.9242977955911823,20,80,0.5
26,537.1023592248874,0.9236369058116232,20,80,0.5
27,554.1021958079248,0.9227002805611221,20,80,0.5
28,575.2345893503746,0.9220875350701405,20,80,0.5
29,605.1017055570368,0.9173343807615231,20,80,0.5
30,636.2837262507848,0.9167598323920568,20,80,0.5
31,659.9989678928673,0.9180171543086172,20,80,0.5
32,673.8524258818064,0.9181397034068136,20,80,0.5
33,702.9681680958482,0.9149009058116232,20,80,0.5
34,729.1320839103098,0.9132694188376757,20,80,0.5
35,738.6584327453189,0.9125899799599199,20,80,0.5
36,797.2656041697127,0.9018406733466936,20,80,0.5
0,4.932964702,0.9980151542,40,60,0.5
1,19.23572186,0.9940666348,40,60,0.5
2,33.71080139,0.9873515554,40,60,0.5
3,50.25374943,0.9855711979999999,40,60,0.5
4,66.79669747,0.9777821345,40,60,0.5
5,89.54325102,0.9747555269,40,60,0.5
6,113.43862040000002,0.9719168459999998,40,60,0.5
7,135.0363581,0.9695702360999999,40,60,0.5
8,157.1625511,0.9677253407,40,60,0.5
9,184.1482351,0.9645184720000001,40,60,0.5
10,204.884361,0.9619344811,40,60,0.5
11,227.883654,0.9586677726,40,60,0.5
12,250.8369944,0.9580312947999999,40,60,0.5
13,273.5835479,0.9586210382,40,60,0.5
14,296.3301015,0.9581982032999999,40,60,0.5
15,319.4902288,0.9566604196999999,40,60,0.5
16,342.0299955,0.954848906,40,60,0.5
17,365.1901227,0.9531842719,40,60,0.5
18,386.79934860000003,0.9515441176,40,60,0.5
19,409.8331061,0.9501841224,40,60,0.5
20,435.7044387,0.9556077834,40,60,0.5
21,454.5220421,0.9556445032,40,60,0.5
0,1.430081546,0.9986500131,40,60,2.0
1,21.42479613,0.9877353493,40,60,2.0
2,44.09921474,0.9863720207,40,60,2.0
3,56.46707943,0.9843955626,40,60,2.0
4,60.589701,0.9770443262,40,60,2.0
5,71.35432397,0.9725279711,40,60,2.0
6,93.57067351,0.9693797874000001,40,60,2.0
7,116.24509209999998,0.9661166419,40,60,2.0
8,138.7133796,0.9644638454,40,60,2.0
9,161.3877982,0.9627712545,40,60,2.0
10,183.2376925,0.9610786636,40,60,2.0
11,206.7366355,0.9581020381,40,60,2.0
12,229.61718509999997,0.9555047865999999,40,60,2.0
13,252.2916037,0.9524140837,40,60,2.0
14,275.65312589999996,0.9515489227,40,60,2.0
15,297.84657200000004,0.9506896572,40,60,2.0
16,321.86084260000007,0.9502519182,40,60,2.0
17,343.40154029999997,0.9486468751,40,60,2.0
18,367.98267139999996,0.9476619623000001,40,60,2.0
19,388.33811539999994,0.9465112392,40,60,2.0
20,412.30085319999995,0.9450720063,40,60,2.0
21,434.9237391,0.9445321282000001,40,60,2.0
22,454.30006039999995,0.9471252108,40,60,2.0
0,5.449931828510814,0.9979743543758969,20,80,0.5
1,17.167853355552182,0.9865503945480631,20,80,0.5
2,33.71080139372822,0.9732496413199422,20,80,0.5
3,64.72882896530831,0.9642736728837877,20,80,0.5
4,97.81472504166037,0.9585344930655189,20,80,0.5
5,130.90062111801242,0.9515985174557628,20,80,0.5
6,160.8847144372065,0.9472907326040172,20,80,0.5
7,192.93667626117252,0.9429761477761835,20,80,0.5
8,225.19542493561585,0.9478966104734577,20,80,0.5
9,251.72322375397667,0.9480469870875179,20,80,0.5
10,271.2202696561128,0.9465082496413199,20,80,0.5
11,290.1264959854568,0.9452842539454808,20,80,0.5
12,321.14452355703685,0.9399025585844092,20,80,0.5
13,351.12861687623086,0.9392123610114776,20,80,0.5
14,384.2145129525829,0.9293285957675751,20,80,0.5
15,415.23254052416297,0.9291449964131995,20,80,0.5
16,447.28450234812914,0.9263298063127691,20,80,0.5
17,478.3025299197092,0.9260850071736013,20,80,0.5
18,509.3205574912892,0.9237149064171122,20,80,0.5
19,542.4064535676413,0.9227666188426588,20,80,0.5
20,569.7023178306317,0.9218010222381636,20,80,0.5
21,593.2760187850326,0.9181535150645623,20,80,0.5
22,608.5782457203454,0.9167826398852225,20,80,0.5
23,637.5284047871535,0.9163474414155905,20,80,0.5
24,669.5803666111195,0.9177863163558105,20,80,0.5
25,700.3916073322224,0.9147018472022956,20,80,0.5
26,734.7182245114377,0.9125031882671769,20,80,0.5
27,797.788213906984,0.9015132935796271,20,80,0.5
0,3.2511374680691745,0.99892873747495,40,100,0.5
1,10.764877394273498,0.991546613226453,40,100,0.5
2,15.460964848151207,0.98752,40,100,0.5
3,20.157052302028944,0.9832307815631264,40,100,0.5
4,25.792357246682172,0.9785038877755512,40,100,0.5
5,30.48844470055991,0.9740395991983969,40,100,0.5
6,33.306097172886524,0.9715010821643288,40,100,0.5
7,42.698272080641935,0.9656362324649299,40,100,0.5
8,61.10693489984257,0.9615921122244491,40,100,0.5
9,78.38853673011255,0.9578456112224449,40,100,0.5
10,104.68662647182774,0.9523834228456914,40,100,0.5
11,123.00136754195084,0.9471663326653307,40,100,0.5
12,138.28974114179712,0.9429257448229794,40,100,0.5
13,164.79654588146244,0.9380149389688469,40,100,0.5
14,183.8492435514806,0.9355866933867736,40,100,0.5
15,205.07854048583576,0.9331412692050768,40,100,0.5
16,226.78490027264831,0.9304073456002917,40,100,0.5
17,240.87316263428139,0.9287402004008014,40,100,0.5
18,261.5359474313433,0.925654589178357,40,100,0.5
19,285.204228198887,0.9246698196392786,40,100,0.5
20,302.8615170254672,0.9237069338677357,40,100,0.5
21,324.4635193133047,0.921547735470942,40,100,0.5
22,352.6400440365709,0.9195052505010021,40,100,0.5
23,371.4243938520818,0.9178295791583168,40,100,0.5
24,393.02639613991926,0.9158287775551102,40,100,0.5
25,417.4460509000834,0.9137279358717436,40,100,0.5
26,438.83933818997076,0.909584609218437,40,100,0.5
27,459.17414227596817,0.9066501002004007,40,100,0.5
28,480.37362278204483,0.9027144325013664,40,100,0.5
29,501.57310328812133,0.9020732665330662,40,100,0.5
30,520.1338298915426,0.9013854909819641,40,100,0.5
31,539.2312522039787,0.8994597194388778,40,100,0.5
32,562.8369184721373,0.8971663006012025,40,100,0.5
33,579.9306768042522,0.896095871743487,40,100,0.5
34,604.3503315644164,0.8948398129592517,40,100,0.5
35,630.6484213061315,0.8926081107669885,40,100,0.5
36,647.5543361400912,0.892044248496994,40,100,0.5
37,672.9132083910309,0.8913189579158319,40,100,0.5
38,697.332863151195,0.8908812825651302,40,100,0.5
39,724.5701703836858,0.8910802259063584,40,100,0.5
40,748.8019816456947,0.8890780601202404,40,100,0.5
41,763.0780875054829,0.8882552304609219,40,100,0.5
